Branch Path,Variable,Scenario,Region,Units,expected_unit,unit_check_status,notes
Demand\Passenger road\LPVs\ICE medium\LPG,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\ICE medium\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\ICE medium\Natural gas,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\PHEV large,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\PHEV large,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\LPVs\PHEV large,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\PHEV medium,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\PHEV medium,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\LPVs\PHEV medium,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\Passenger cars,Mileage,Reference,Papua New Guinea,Kilometer,Kilometer,pass,
Demand\Passenger road\LPVs\Passenger cars,Vehicle Equivalent Weight,Reference,Papua New Guinea,Vehicle equivalent,Vehicle equivalent,pass,
Demand\Passenger road\LPVs\SUV and light trucks,Mileage,Reference,Papua New Guinea,Kilometer,Kilometer,pass,
Demand\Passenger road\LPVs\SUV and light trucks,Vehicle Equivalent Weight,Reference,Papua New Guinea,Vehicle equivalent,Vehicle equivalent,pass,
Demand\Passenger road\Motorcycles,Mileage,Reference,Papua New Guinea,Kilometer,Kilometer,pass,
Demand\Passenger road\Motorcycles,Vehicle Equivalent Weight,Reference,Papua New Guinea,Vehicle equivalent,Vehicle equivalent,pass,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Motorcycles\BEV,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\Motorcycles\BEV\Electricity,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Motorcycles\ICE,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\Motorcycles\ICE\Gas and diesel oil,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Motorcycles\ICE\LPG,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Motorcycles\ICE\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Motorcycles\ICE\Natural gas,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\PHEV,PHEV Electric Driving Share,Reference,Papua New Guinea,Share,Share,pass,
